,RVP_LAB,S.B5.213TI2804,S.B5.213PI2806,S.B5.213FC2602
2014-09-16,35.5,136.7860389,335.2900236,89.86663138
2014-09-17,33.5,138.7736192,338.2144528,89.46561001
2014-09-18,34.4,138.0994353,339.5563006,91.78826926
2014-09-19,34.3,137.3255462,335.7704739,96.43965367
2014-09-20,35.2,137.4012381,349.7609752,91.35786304
2014-09-21,34.8,137.7575537,339.7350807,92.70909545
2014-09-22,36.4,136.1874659,340.0384325,94.78814081
2014-09-23,35.6,136.8160894,333.2351799,95.64494275
2014-09-24,31.1,138.0874058,329.8782761,91.73384755
2014-09-25,32.4,137.4664733,326.430576,98.26077756
2014-09-26,34,136.8707639,338.5678902,89.51175462
2014-09-27,35.4,136.3952988,327.0554695,97.99094952
2014-09-28,36.8,137.2893253,336.9774796,92.79498039
2014-09-29,34.4,137.650436,339.7429788,91.79593644
2014-09-30,34.6,137.9972488,331.8252029,88.87541768
2014-10-01,34.6,137.9029371,334.6023597,94.75139284
2014-10-02,35.7,137.1605265,331.738998,97.38175017
2014-10-03,33.9,137.3229127,332.7816998,97.60571988
2014-10-04,33.2,137.108753,328.1209063,99.31822183
2014-10-05,34.6,137.1539501,333.8948597,95.69545831
2014-10-06,33.2,137.7530005,330.0674044,94.71400904
2014-10-07,32.3,137.5899485,325.5429265,92.26771783
2014-10-08,35.4,138.3097214,340.7634606,90.52096193
2014-10-09,33.1,137.1576189,329.7070256,89.41498566
2014-10-10,32.5,137.3853898,335.8499258,88.38885685
2014-10-11,34.3,137.4813414,344.6491605,92.35109469
2014-10-12,33.7,137.6242471,332.7096127,91.01396837
2014-10-13,35.1,137.2312686,336.4433255,91.62304265
2014-10-14,33.8,136.2435481,310.1767838,95.35382113
2014-10-15,33.2,136.9198204,325.464788,93.97928067
2014-10-16,34,137.0287996,329.0356744,94.92242006
2014-10-17,34.3,136.2430755,326.1020418,93.25146024
2014-10-18,36.9,137.354013,338.2381371,90.73143299
2014-10-19,33.4,138.7792615,331.414937,89.57546242
2014-10-20,33.5,137.9490784,333.7068556,88.67262737
2014-10-21,35,136.163472,338.3427833,87.68054864
2014-10-22,33.6,137.6844991,333.9856245,86.8605044
2014-10-23,32.5,137.1293022,323.3682714,83.07176289
2014-10-24,33.2,136.070848,312.0755736,87.04171267
2014-10-25,33,137.7737118,322.5350721,83.82573688
2014-10-26,33.4,137.3078769,319.9125586,90.4093066
2014-10-27,33.8,137.0821081,338.0396891,94.21715283
2014-10-28,34.5,136.0320973,329.0727264,95.10017852
2014-10-29,31.1,136.696479,323.2342137,92.39981101
2014-10-30,35,136.8298796,329.0345283,91.96350533
2014-10-31,35.2,136.8360124,331.0636891,91.54973965
2014-11-01,33.5,137.7079833,327.7145601,91.67618978
2014-11-02,34.6,137.0167307,330.1295413,92.94844281
2014-11-03,34.8,136.5228402,328.270324,93.26215111
2014-11-04,33.4,137.7621926,322.8562589,89.59298342
2014-11-05,33.5,137.1585934,329.3972533,91.47094088
2014-11-06,35,137.0652269,330.4199928,90.73913775
2014-11-07,33.8,137.5056944,325.7782892,89.1483657
2014-11-08,30.9,138.3421831,322.5371887,88.8111278
2014-11-09,33.6,137.7705559,334.0284604,87.48973288
2014-11-10,33.4,137.7624602,317.6552131,88.38645091
2014-11-11,32.5,137.1357264,329.2758653,90.44177511
2014-11-12,31.3,137.1401098,333.3251432,89.15996702
2014-11-13,32.1,135.2856692,343.0259408,93.60671891
2014-11-14,33.1,135.9714829,349.1599198,91.18955034
2014-11-15,35.1,135.3482135,336.6356594,93.43770117
2014-11-16,37.4,135.9592168,338.1147805,88.69342324
2014-11-17,39,135.6073006,344.3931213,91.7614687
2014-11-18,37.9,135.1133398,332.8285255,93.85081511
2014-11-19,37.2,134.7249741,333.2480101,91.23924055
2014-11-20,38,135.0058312,338.9800731,91.17599206
2014-11-21,35.9,134.4399967,328.2395101,92.19704745
2014-11-22,39,135.1015796,352.3894699,91.4962183
2014-11-23,36.6,135.9941803,333.6469332,91.41418668
2014-11-24,37.8,134.9609082,340.0845037,89.58783321
2014-11-25,35.8,135.2014645,324.6250837,89.86503144
2014-11-26,39,135.2309731,335.6805797,92.85367292
2014-11-27,37.7,135.8534208,338.9101207,88.56953983
2014-11-28,38.5,134.5354012,337.1629747,94.50512407
2014-11-29,36.1,135.4156323,330.6575859,90.24206744
2014-11-30,35.9,135.3669598,338.5420855,93.37519896
2014-12-01,37.6,135.2819513,337.1165975,92.6921253
2014-12-02,39.4,131.754922,315.1449746,99.40131268
