Date,FG_Press_A,FG_Press_B,FG_Press_Sum,FG_Flow_A,FG_Flow_B,FG_Flow_Sum,HTR_Flow,HTR_Inlet_Temp_r1,HTR_Outlet_Temp_r1_A,HTR_Outlet_Temp_r1_B,HTR_Delta_Temp_r1,HTR_Inlet_Temp,HTR_Outlet_Temp,HTR_Delta_Temp,HTR_O2_A,HTR_O2_B,HTR_O2_Sum,FG_LHV,FG_LHV_r1,Offgas_S1,Offgas_S2,Offgas_S3,Offgas_S4,Offgas_S5,Offgas_S6,FG_LHV_Lab
2019-01-01 5:00,2.05,2.22,4.27,5972.11,6444.76,12416.87,69176.82,263.9537964,286.6789551,287.2051392,22.98825073,190.81,237.31,46.5,2.41,2.09,4.5,57.56902827,28.46045712,2109.866211,2073.133789,6192.540527,4131.524902,3704.548828,14473.56348,
2019-01-02 5:00,2.05,2.23,4.28,5967.71,6457.23,12424.94,69055.5,262.6759644,285.7769775,286.3031616,23.36410522,190.94,237.2,46.26,2.19,1.98,4.17,61.65574466,31.13988988,2348.842285,2070.129395,6573.296387,4117.677734,4031.901123,14701.97656,38531.61501
2019-01-03 5:00,2.04,2.23,4.28,5976.37,6481.38,12457.75,68934.64,262.4505005,286.3031616,286.90448,24.15332031,190.93,237.04,46.11,2.2,1.98,4.18,61.04031148,31.97410963,2345.87915,2063.630127,6314.60791,4109.009277,4066.921143,14543.93262,
2019-01-04 5:00,2.04,2.22,4.26,5950.5,6449.37,12399.87,68993.98,263.4777222,286.0025024,286.6789551,22.86300659,191.14,236.52,45.38,1.89,1.78,3.67,68.80064246,34.66261662,2128.713623,2061.491211,6395.175781,4385.287109,3611.70752,14092.6875,38357.05076
2019-01-05 5:00,2.05,2.24,4.29,5964.32,6479.3,12443.63,69139.87,262.4505005,286.1778564,286.4785156,23.87768555,190.82,236.17,45.36,1.77,1.71,3.48,72.4227933,38.12364826,2403.566406,2062.998047,6488.336426,4096.850586,3584.061523,15362.86719,
2019-01-06 5:00,2.06,2.24,4.3,5969.6,6468.72,12438.32,69439.84,262.4505005,285.8771973,286.6038208,23.79000854,191.28,236.65,45.37,1.98,1.84,3.81,66.47996611,34.85913515,1956.80957,2064.443115,6622.750977,4441.555664,3649.031738,15223.50586,
2019-01-07 5:00,2.03,2.23,4.26,5939.25,6456.23,12395.48,69237.66,262.9766235,286.0776367,286.7791748,23.45178223,191.27,236.62,45.36,1.85,1.74,3.59,70.57609583,36.48887191,2139.088623,2069.459473,6260.705078,4403.328613,3746.229248,15264.92188,37577.3835
2019-01-08 5:00,2.02,2.22,4.24,5911.29,6447.27,12358.56,69147.26,262.9766235,286.0025024,286.6038208,23.32653809,191.28,236.89,45.61,1.76,1.62,3.37,75.72465033,38.72821618,2000.380127,2069.690186,6382.205078,4135.468262,3384.92334,14378.2373,
2019-01-09 5:00,2,2.2,4.21,5854.37,6381.87,12236.24,69139.78,263.6531372,286.4785156,287.2051392,23.18869019,191.39,236.93,45.54,2.07,1.93,4,64.32992449,32.75640511,2204.382568,2066.359131,6059.439941,4101.810059,3185.238037,15047.94336,38906.30937
2019-01-10 5:00,2.02,2.21,4.23,5889.25,6387.96,12277.21,69295.14,263.5779419,286.6789551,286.90448,23.21377563,191.13,236.37,45.25,1.69,1.54,3.24,78.82730256,40.43932189,2084.730713,2056.376709,6286.730469,4419.290527,3597.017578,14264.47852,
2019-01-11 5:00,2.02,2.21,4.23,5872.67,6366.81,12239.48,69485.81,263.4777222,286.3031616,287.079834,23.21377563,191.14,236.67,45.53,1.83,1.54,3.36,76.92925566,39.22289657,2138.735352,2067.966064,6350.168457,4289.729004,3040.109619,14589.5752,39179.64697
2019-01-12 5:00,2.03,2.22,4.25,5925.42,6414.65,12340.07,69120.52,262.1498413,285.7769775,286.6038208,24.04055786,191.07,236.84,45.77,1.84,1.19,3.03,84.6111616,44.44176373,2493.707031,2063.152344,6854.564453,4272.036621,3447.883301,14493.07031,
2019-01-13 5:00,2.03,2.22,4.26,5927.67,6423.13,12350.8,68898.21,262.5757446,285.7018433,286.1778564,23.36410522,191.03,236.92,45.89,1.51,1.62,3.13,81.78743157,41.64066588,2270.708252,2062.425293,6620.852051,4298.484375,3051.691162,14838.73438,
2019-01-14 5:00,2.06,2.24,4.3,5949.26,6440.14,12389.4,69199.25,263.177063,285.7018433,286.6038208,22.97576904,191.16,236.99,45.83,1.77,1.63,3.4,75.2873573,37.74350716,2149.340576,2064.585449,6575.674316,4118.188965,3758.377441,14324.09863,38741.51817
2019-01-15 5:00,2.06,2.25,4.32,5952.87,6460.38,12413.25,69348.87,263.0518188,286.0776367,286.3782959,23.17614746,190.85,236.67,45.82,1.77,1.74,3.51,72.92926812,36.88824688,2374.628662,2061.998535,6616.913574,4268.578125,4109.163574,13786.6709,
2019-01-16 5:00,2.02,2.21,4.23,5887.32,6395.05,12282.37,69171.43,262.7511597,286.0025024,286.6789551,23.58956909,190.93,237.25,46.31,2.22,1.77,4,65.20176732,33.21273148,2262.833984,2069.248535,6413.935059,4120.875977,3096.708008,14221.17188,39650.02379
2019-01-17 5:00,2,2.19,4.19,5854.75,6360.68,12215.44,69079.69,263.5779419,286.3782959,287.2802734,23.25134277,191.24,236.99,45.74,1.89,1.84,3.73,69.34714621,35.25173299,2026.408936,2067.232422,6559.05127,4297.99707,3092.281006,14389.51953,
2019-01-18 5:00,2.01,2.21,4.22,5873.84,6394.83,12268.67,69403.73,263.4777222,286.1778564,286.9796143,23.10101318,191.45,237.01,45.57,1.91,1.76,3.67,70.24223001,35.60822211,1967.057617,2073.108887,6632.372559,4397.901367,3265.325439,14644.8252,38784.22956
2019-01-19 5:00,2.04,2.23,4.26,5926.02,6428.24,12354.26,69454.63,262.7511597,286.3031616,286.90448,23.85266113,191.53,236.69,45.16,1.71,1.55,3.26,77.87907745,41.13426138,2512.54248,2064.02417,6553.966309,4230.758301,3479.730957,14436.375,
2019-01-20 5:00,2.03,2.22,4.25,5916.48,6413.39,12329.87,69256.58,263.0518188,285.7018433,286.3031616,22.95068359,191,236.49,45.48,1.7,1.47,3.17,80.58676788,40.6666977,2242.307373,2059.385498,6801.32373,4254.536133,3550.635742,14423.46484,
2019-01-21 5:00,1.98,2.18,4.16,5821.29,6334.22,12155.51,69185.96,263.352478,286.3031616,286.90448,23.25134277,191.37,236.94,45.57,2.1,1.91,4.02,64.5205056,32.92052648,2017.70459,2068.182861,6789.881836,4192.691895,3094.92627,14262.21973,39454.645
2019-01-22 5:00,1.99,2.17,4.17,5817.53,6304.16,12121.69,69330.17,262.9766235,286.1778564,286.3782959,23.30145264,191.34,236.63,45.29,1.89,1.61,3.5,74.01050512,38.07799249,2556.588135,2062.298584,6970.893555,4079.073242,3067.440186,14421.98926,
2019-01-23 5:00,1.99,2.17,4.16,5795.59,6292.09,12087.68,69426.81,262.7511597,285.2758789,286.3782959,23.07592773,191.17,236.29,45.12,2,1.87,3.87,66.96415339,34.2477829,2237.438477,2079.431396,6685.016113,4555.303223,3276.928711,14686.99219,40026.85532
2019-01-24 5:00,2.04,2.2,4.24,5888.28,6347.61,12235.89,69457.71,263.2772827,286.6789551,287.079834,23.60211182,191.1,236.29,45.2,1.77,1.86,3.63,70.68328195,36.90873284,1878.198364,2079.986816,6411.705078,4244.023926,3399.478516,13627.45215,
2019-01-25 5:00,2,2.21,4.21,5836.48,6362.68,12199.17,69303.49,262.6759644,285.7018433,286.4785156,23.41421509,190.79,236.3,45.51,1.87,1.74,3.61,71.61837383,36.84658337,1872.561035,2075.998047,6280.398438,4181.282715,3421.281006,15118.39941,39241.87793
2019-01-26 5:00,1.98,2.16,4.15,5804.35,6278.02,12082.38,69252.65,262.3753052,285.7018433,286.4785156,23.71487427,190.77,236.66,45.9,2.1,1.54,3.65,72.07816593,37.24018829,2047.802368,2077.442627,6596.095703,4402.458496,3278.407227,14213.96875,
2019-01-27 5:00,1.99,2.17,4.16,5815.3,6300.92,12116.22,69211.77,263.4777222,285.7018433,286.3031616,22.52478027,191.11,236.76,45.65,1.95,2.01,3.96,65.85039758,32.49213004,2015.922363,2082.234619,6413.734863,4461.763672,3174.674316,14253.44727,
